Holdings details

S&P 500 ETF (VOO)


Equity,as of 09/30/2025

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,B94Q9V0,T-Mobile US Inc,TMUS,0.20%,Wireless Telecommunication Services,US,---,"$2,855,098,186.52","11,927,054"
,2044545,Comcast Corp,CMCSA,0.20%,Cable & Satellite,US,---,"$2,851,242,116.38","90,746,089"
,2261203,Deere & Co,DE,0.20%,Agricultural & Farm Machinery,US,---,"$2,837,938,464.00","6,206,400"
,2692632,Altria Group Inc,MO,0.19%,Tobacco,US,---,"$2,734,668,512.28","41,396,738"
,BP0TQN6,Robinhood Markets Inc,HOOD,0.19%,Investment Banking & Brokerage,US,---,"$2,730,117,724.58","19,067,731"
,B44WZD7,Prologis Inc,PLD,0.19%,Industrial REITs,US,---,"$2,619,038,960.16","22,869,708"
,B3BQMF6,Chubb Ltd,CB,0.18%,Property & Casualty Insurance,US,---,"$2,578,688,216.25","9,136,185"
,2829601,Southern Co/The,SO,0.18%,Electric Utilities,US,---,"$2,569,048,757.73","27,108,249"
,BMH4FS1,Constellation Energy Corp,CEG,0.18%,Electric Utilities,US,---,"$2,533,341,775.23","7,698,489"
,2522096,Lockheed Martin Corp,LMT,0.18%,Aerospace & Defense,US,---,"$2,527,660,476.41","5,063,321"
,BN13P03,DoorDash Inc,DASH,0.18%,Restaurants,US,---,"$2,482,011,562.22","9,125,378"
,2931034,Vertex Pharmaceuticals Inc,VRTX,0.18%,Biotechnology,US,---,"$2,474,308,674.96","6,317,814"
,2567741,Marsh & McLennan Cos Inc,MMC,0.17%,Insurance Brokers,US,---,"$2,441,684,880.67","12,115,739"
,2965839,CME Group Inc,CME,0.17%,Financial Exchanges & Data,US,---,"$2,399,377,983.84","8,880,336"
,2671501,Parker-Hannifin Corp,PH,0.17%,Industrial Machinery & Supplies & Components,US,---,"$2,387,750,210.45","3,149,443"
,BFSSDS9,Intercontinental Exchange Inc,ICE,0.17%,Financial Exchanges & Data,US,---,"$2,376,602,972.64","14,106,143"
,B7VD3F2,Duke Energy Corp,DUK,0.17%,Electric Utilities,US,---,"$2,371,508,246.25","19,163,703"
,2842255,Starbucks Corp,SBUX,0.17%,Restaurants,US,---,"$2,369,739,483.00","28,011,105"
,2378534,McKesson Corp,MCK,0.17%,Health Care Distributors,US,---,"$2,368,656,310.02","3,066,063"
,2302232,Cadence Design Systems Inc,CDNS,0.17%,Application Software,US,---,"$2,358,880,909.84","6,715,484"
,2577609,CVS Health Corp,CVS,0.17%,Health Care Services,US,---,"$2,356,266,125.01","31,254,359"
,BK9ZQ96,Trane Technologies PLC,TT,0.16%,Building Products,US,---,"$2,313,724,406.84","5,483,279"
,2636607,Newmont Corp,NEM,0.16%,Gold,US,---,"$2,281,931,171.91","27,065,961"
,2126335,Bristol-Myers Squibb Co,BMY,0.16%,Pharmaceuticals,US,---,"$2,262,134,188.60","50,158,186"
,B65LWX6,O'Reilly Automotive Inc,ORLY,0.16%,Automotive Retail,US,---,"$2,254,236,592.26","20,909,346"
,2867719,Synopsys Inc,SNPS,0.16%,Application Software,US,---,"$2,249,651,176.20","4,559,580"
,B7FBFL2,American Tower Corp,AMT,0.16%,Telecom Tower REITs,US,---,"$2,219,154,709.12","11,538,866"
,BG1FRR1,KKR & Co Inc,KKR,0.16%,Asset Management & Custody Banks,US,---,"$2,196,990,058.70","16,906,426"
,2365161,General Dynamics Corp,GD,0.15%,Aerospace & Defense,US,---,"$2,121,605,838.00","6,221,718"
,2640147,NIKE Inc,NKE,0.14%,Footwear,US,---,"$2,041,479,840.79","29,276,923"
,2595708,3M Co,MMM,0.14%,Industrial Conglomerates,US,---,"$2,036,764,035.78","13,125,171"
,2648806,Northrop Grumman Corp,NOC,0.14%,Aerospace & Defense,US,---,"$2,021,050,461.40","3,316,895"
,2937667,Waste Management Inc,WM,0.14%,Environmental & Facilities Services,US,---,"$2,016,803,511.39","9,132,833"
,2754907,Royal Caribbean Cruises Ltd,RCL,0.14%,"Hotels, Resorts & Cruise Lines",US,---,"$2,014,367,365.74","6,225,253"
,B8CKK03,Mondelez International Inc,MDLZ,0.14%,Packaged Foods & Meats,US,---,"$1,991,948,842.89","31,886,487"
,2804211,Sherwin-Williams Co/The,SHW,0.14%,Specialty Chemicals,US,---,"$1,979,057,340.24","5,715,524"
,2359506,Arthur J Gallagher & Co,AJG,0.14%,Insurance Brokers,US,---,"$1,956,844,088.26","6,317,699"
,2692665,PNC Financial Services Group Inc/The,PNC,0.14%,Diversified Banks,US,---,"$1,949,865,709.72","9,704,204"
,BKLJ8V2,Howmet Aerospace Inc,HWM,0.14%,Aerospace & Defense,US,---,"$1,949,173,194.15","9,933,105"
,2967181,Williams Cos Inc/The,WMB,0.13%,Oil & Gas Storage & Transportation,US,---,"$1,906,333,141.30","30,092,078"
,BHJ0775,Cigna Group/The,CI,0.13%,Health Care Services,US,---,"$1,895,999,541.50","6,577,622"
,BLP1HW5,Aon PLC,AON,0.13%,Insurance Brokers,US,---,"$1,894,845,438.36","5,313,942"
,B1Z77F6,Bank of New York Mellon Corp/The,BK,0.13%,Asset Management & Custody Banks,US,---,"$1,893,388,549.44","17,376,914"
,BVLZX12,Equinix Inc,EQIX,0.13%,Data Center REITs,US,---,"$1,889,742,729.00","2,412,725"
,BMC9P69,Coinbase Global Inc,COIN,0.13%,Financial Exchanges & Data,US,---,"$1,881,574,585.49","5,575,201"
,B5BKPQ4,Motorola Solutions Inc,MSI,0.13%,Communications Equipment,US,---,"$1,877,314,923.45","4,105,305"
,2736035,US Bancorp,USB,0.13%,Diversified Banks,US,---,"$1,853,358,501.69","38,347,993"
,B11FJK3,TransDigm Group Inc,TDG,0.13%,Aerospace & Defense,US,---,"$1,830,897,168.54","1,389,127"
,2313405,Emerson Electric Co,EMR,0.13%,Electrical Components & Equipment,US,---,"$1,819,200,829.32","13,867,974"
,2252058,Moody's Corp,MCO,0.13%,Financial Exchanges & Data,US,---,"$1,811,019,954.88","3,800,831"
,BSPHGL4,Elevance Health Inc,ELV,0.13%,Managed Health Care,US,---,"$1,792,721,782.32","5,548,161"
,BY7QL61,Johnson Controls International plc,JCI,0.13%,Building Products,US,---,"$1,773,014,118.00","16,125,640"
,2065955,AutoZone Inc,AZO,0.12%,Automotive Retail,US,---,"$1,763,189,964.48","410,977"
,2197137,Cintas Corp,CTAS,0.12%,Diversified Support Services,US,---,"$1,732,629,833.22","8,441,147"
,2342034,Fiserv Inc,FI,0.12%,Transaction & Payment Processing Services,US,---,"$1,726,971,708.78","13,394,646"
,2304227,Ecolab Inc,ECL,0.12%,Specialty Chemicals,US,---,"$1,722,663,475.02","6,290,307"
,B4MGBG6,HCA Healthcare Inc,HCA,0.12%,Health Care Facilities,US,---,"$1,719,731,064.60","4,035,033"
,2457552,Illinois Tool Works Inc,ITW,0.12%,Industrial Machinery & Supplies & Components,US,---,"$1,704,756,310.20","6,537,645"
,2065159,Autodesk Inc,ADSK,0.12%,Application Software,US,---,"$1,674,945,571.32","5,272,596"
,2641894,Norfolk Southern Corp,NSC,0.12%,Rail Transportation,US,---,"$1,661,090,959.33","5,529,413"
,2160753,CSX Corp,CSX,0.12%,Rail Transportation,US,---,"$1,631,253,017.99","45,937,849"
,BRC3N84,TE Connectivity PLC,TEL,0.11%,Electronic Manufacturing Services,US,---,"$1,598,268,846.36","7,280,412"
,B95WG16,Zoetis Inc,ZTS,0.11%,Pharmaceuticals,US,---,"$1,598,009,883.52","10,921,336"
,2209106,Colgate-Palmolive Co,CL,0.11%,Household Products,US,---,"$1,592,061,537.64","19,915,706"
,BYW36M8,PayPal Holdings Inc,PYPL,0.11%,Transaction & Payment Processing Services,US,---,"$1,578,650,138.66","23,540,861"
,2224701,Corning Inc,GLW,0.11%,Electronic Components,US,---,"$1,575,824,272.23","19,210,341"
,2769503,Travelers Cos Inc/The,TRV,0.11%,Property & Casualty Insurance,US,---,"$1,548,822,729.64","5,546,962"
,BZ8VJQ8,Vistra Corp,VST,0.11%,Independent Power Producers & Energy Traders,US,---,"$1,536,889,346.08","7,844,474"
,2150204,Quanta Services Inc,PWR,0.11%,Construction & Engineering,US,---,"$1,521,907,305.18","3,672,379"
,2517382,United Parcel Service Inc,UPS,0.11%,Air Freight & Logistics,US,---,"$1,515,100,217.88","18,138,396"
,2134781,United Rentals Inc,URI,0.11%,Trading Companies & Distributors,US,---,"$1,513,989,566.04","1,585,894"
,BN44JF6,Apollo Global Management Inc,APO,0.11%,Diversified Financial Services,US,---,"$1,511,270,338.78","11,339,914"
,2812452,Simon Property Group Inc,SPG,0.11%,Retail REITs,US,---,"$1,510,410,948.76","8,048,228"
,2318024,EOG Resources Inc,EOG,0.11%,Oil & Gas Exploration & Production,US,---,"$1,508,514,055.20","13,454,460"
,BYVMW06,Hilton Worldwide Holdings Inc,HLT,0.11%,"Hotels, Resorts & Cruise Lines",US,---,"$1,503,807,897.84","5,796,361"
,2011602,Air Products and Chemicals Inc,APD,0.11%,Industrial Gases,US,---,"$1,495,653,205.76","5,484,208"
,2795393,Cencora Inc,COR,0.11%,Health Care Distributors,US,---,"$1,494,278,124.43","4,781,231"
,2026242,American Electric Power Co Inc,AEP,0.10%,Electric Utilities,US,---,"$1,482,581,700.00","13,178,504"
,BKP7287,Truist Financial Corp,TFC,0.10%,Regional Banks,US,---,"$1,452,611,542.32","31,771,906"
