As-Of-Date,Symbol,Quantity,Percent of Assets,Name,BBG FIGI,Country,Currency,Exchange,Exchange (fx) Rate,Market Currency,Sector
2025-10-17,FMC,3574989.0000000000,0.1551961892,FMC CORP,BBG000BJPBC0,US,USD,XNYS,1.0000000000,USD,Materials
2025-10-17,MUR,3839742.0000000000,0.1514550479,MURPHY OIL CORP,BBG000BPMLC7,US,USD,XNYS,1.0000000000,USD,Energy
2025-10-17,IBOC,1548210.0000000000,0.1451579947,INTERNATIONAL BANCSHARES CORP,BBG000BS0ZZ9,US,USD,XNGS,1.0000000000,USD,Financials
2025-10-17,RHI,2858164.0000000000,0.1326041053,ROBERT HALF INC,BBG000BS5GM0,US,USD,XNYS,1.0000000000,USD,Industrials
2025-10-17,CATY,1978611.0000000000,0.1301607467,CATHAY GENERAL BANCORP,BBG000C68N58,US,USD,XNGS,1.0000000000,USD,Financials
2025-10-17,APAM,2016749.0000000000,0.1276162286,ARTISAN PARTNERS ASSET MANAGEMENT,BBG001M6D022,US,USD,XNYS,1.0000000000,USD,Financials
2025-10-17,WU,9257882.0000000000,0.1083178743,WESTERN UNION,BBG000BB55B3,US,USD,XNYS,1.0000000000,USD,Financials
2025-10-17,FLO,5559719.0000000000,0.1014380130,FLOWERS FOODS INC,BBG000BB4FW9,US,USD,XNYS,1.0000000000,USD,Consumer Staples
2025-10-17,CVBF,3714845.0000000000,0.0978473760,CVB FINANCIAL CORP,BBG000JTYS97,US,USD,XNGS,1.0000000000,USD,Financials
2025-10-17,BANR,992407.0000000000,0.0896994448,BANNER CORP,BBG000MW1Z96,US,USD,XNGS,1.0000000000,USD,Financials
2025-10-17,OFG,1276316.0000000000,0.0753478904,OFG BANCORP,BBG000F5VPN6,PR,USD,XNYS,1.0000000000,USD,Financials
2025-10-17,CNS,785703.0000000000,0.0748617270,COHEN & STEERS INC,BBG000BB0YC4,US,USD,XNYS,1.0000000000,USD,Financials
2025-10-17,IPAR,522319.0000000000,0.0726077919,INTERPARFUMS INC,BBG000GCWFP9,US,USD,XNGS,1.0000000000,USD,Consumer Staples
2025-10-17,NWBI,4171475.0000000000,0.0715184182,NORTHWEST BANCSHARES INC,BBG000BG8ZP8,US,USD,XNGS,1.0000000000,USD,Financials
2025-10-17,NSP,1027312.0000000000,0.0703907585,INSPERITY INC,BBG000BJ4466,US,USD,XNYS,1.0000000000,USD,Industrials
2025-10-17,CHCO,413859.0000000000,0.0701353125,CITY HOLDING,BBG000BFJQP8,US,USD,XNGS,1.0000000000,USD,Financials
2025-10-17,FCF,2984408.0000000000,0.0670695734,FIRST COMMONWEALTH FINANCIAL CORP,BBG000CND9X5,US,USD,XNYS,1.0000000000,USD,Financials
2025-10-17,BKE,859483.0000000000,0.0670431224,BUCKLE INC,BBG000BD98J1,US,USD,XNYS,1.0000000000,USD,Consumer Discretionary
2025-10-17,LKFN,728370.0000000000,0.0619425541,LAKELAND FINANCIAL CORP,BBG000BHRBS5,US,USD,XNGS,1.0000000000,USD,Financials
2025-10-17,GABC,1069866.0000000000,0.0583264102,GERMAN AMERICAN BANCORP INC,BBG000BH7QN9,US,USD,XNGS,1.0000000000,USD,Financials
2025-10-17,WEN,4512786.0000000000,0.0579946907,WENDYS,BBG000D54L11,US,USD,XNGS,1.0000000000,USD,Consumer Discretionary
2025-10-17,HUN,4659899.0000000000,0.0566802060,HUNTSMAN CORP,BBG000NS28G5,US,USD,XNYS,1.0000000000,USD,Materials
2025-10-17,STBA,1094019.0000000000,0.0548914699,S AND T BANCORP INC,BBG000CKBB59,US,USD,XNGS,1.0000000000,USD,Financials
2025-10-17,GVMXX,33501043.2600000000,0.0484852975,SSC GOVERNMENT MM GVMXX,BBG000BQBCL7,US,USD,XNAS,1.0000000000,USD,
2025-10-17,VRTS,181134.0000000000,0.0480213340,VIRTUS INVESTMENT PARTNERS INC,BBG000DMH276,US,USD,XNYS,1.0000000000,USD,Financials
2025-10-17,CRI,1045078.0000000000,0.0461253576,CARTERS INC,BBG000CTM6D0,US,USD,XNYS,1.0000000000,USD,Consumer Discretionary
2025-10-17,SRCE,524262.0000000000,0.0436886926,1ST SOURCE CORP,BBG000BTHCT7,US,USD,XNGS,1.0000000000,USD,Financials
2025-10-17,CWENA,995366.0000000000,0.0435564792,CLEARWAY ENERGY INC CLASS A,BBG004P33YX3,US,USD,XNYS,1.0000000000,USD,Utilities
2025-10-17,CNA,623452.0000000000,0.0407332895,CNA FINANCIAL CORP,BBG000BFYCD5,US,USD,XNYS,1.0000000000,USD,Financials
2025-10-17,PFBC,330621.0000000000,0.0404865942,PREFERRED BANK,BBG000BRFJ81,US,USD,XNGS,1.0000000000,USD,Financials
2025-10-17,AMSF,545300.0000000000,0.0319626454,AMERISAFE INC,BBG000Q0JWB7,US,USD,XNGS,1.0000000000,USD,Financials
